danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like,track_name
0.65,0.858,2,-5.566,1,0.0458,0.00976,0.00173,0.687,0.762,113.123,audio_features,1g1RmSl6D0I6m6MEtDvxYn,spotify:track:1g1RmSl6D0I6m6MEtDvxYn,https://api.spotify.com/v1/tracks/1g1RmSl6D0I6m6MEtDvxYn,https://api.spotify.com/v1/audio-analysis/1g1RmSl6D0I6m6MEtDvxYn,276613,4,1,Signs of Life
0.423,0.949,11,-4.097,1,0.0972,0.0181,0.00355,0.292,0.278,189.976,audio_features,2voWPWlDfIthC6GUjaIQyV,spotify:track:2voWPWlDfIthC6GUjaIQyV,https://api.spotify.com/v1/tracks/2voWPWlDfIthC6GUjaIQyV,https://api.spotify.com/v1/audio-analysis/2voWPWlDfIthC6GUjaIQyV,283507,4,1,Creature Comfort
0.58,0.682,4,-8.523,1,0.0332,0.0792,0.0316,0.161,0.774,77.53,audio_features,3cUxncrTWSA9lhlQbuIwUY,spotify:track:3cUxncrTWSA9lhlQbuIwUY,https://api.spotify.com/v1/tracks/3cUxncrTWSA9lhlQbuIwUY,https://api.spotify.com/v1/audio-analysis/3cUxncrTWSA9lhlQbuIwUY,211053,4,1,Stuck on the puzzle
0.533,0.748,1,-7.861,1,0.0285,0.119,0.612,0.316,0.343,105.921,audio_features,3s5ogvexUgA6XjNj37zpnP,spotify:track:3s5ogvexUgA6XjNj37zpnP,https://api.spotify.com/v1/tracks/3s5ogvexUgA6XjNj37zpnP,https://api.spotify.com/v1/audio-analysis/3s5ogvexUgA6XjNj37zpnP,204880,3,1,Piledriver waltz
0.615,0.928,10,-4.218,1,0.0412,0.186,4.4e-06,0.147,0.962,156.926,audio_features,0oakHTPj4SF7Si0NAsLwi8,spotify:track:0oakHTPj4SF7Si0NAsLwi8,https://api.spotify.com/v1/tracks/0oakHTPj4SF7Si0NAsLwi8,https://api.spotify.com/v1/audio-analysis/0oakHTPj4SF7Si0NAsLwi8,135133,4,1,Las flores
0.68,0.321,5,-10.944,1,0.0376,0.791,4.67e-06,0.125,0.416,110.827,audio_features,6aommJFM8i3iT4inKuDSXh,spotify:track:6aommJFM8i3iT4inKuDSXh,https://api.spotify.com/v1/tracks/6aommJFM8i3iT4inKuDSXh,https://api.spotify.com/v1/audio-analysis/6aommJFM8i3iT4inKuDSXh,215986,4,1,Chachachá
0.829,0.792,2,-3.755,0,0.0668,0.726,5.83e-06,0.122,0.758,118.05,audio_features,0tZkVZ9DeAa0MNK2gY5NtV,spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/tracks/0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/audio-analysis/0tZkVZ9DeAa0MNK2gY5NtV,215507,4,1,Baby I'm Yours
0.574,0.793,11,-6.059,0,0.0321,0.00814,0.00874,0.161,0.678,119.977,audio_features,2amJsWuU8ohAth78f2QOLD,spotify:track:2amJsWuU8ohAth78f2QOLD,https://api.spotify.com/v1/tracks/2amJsWuU8ohAth78f2QOLD,https://api.spotify.com/v1/audio-analysis/2amJsWuU8ohAth78f2QOLD,176520,4,1,The Bakery
0.361,0.87,7,-4.527,1,0.136,0.00102,0.000896,0.438,0.472,175.133,audio_features,1oXsmzLhOxjYgWFXZqfyV8,spotify:track:1oXsmzLhOxjYgWFXZqfyV8,https://api.spotify.com/v1/tracks/1oXsmzLhOxjYgWFXZqfyV8,https://api.spotify.com/v1/audio-analysis/1oXsmzLhOxjYgWFXZqfyV8,173520,4,1,Plastic Tramp
0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4,1,Should I Stay or Should I Go - Remastered
0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,audio_features,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,222427,4,1,Rock the Casbah - Remastered
0.429,0.924,2,-6.131,0,0.0406,0.000542,0.353,0.104,0.484,154.104,audio_features,0J2OnBNKwt0KICDyDFPUvl,spotify:track:0J2OnBNKwt0KICDyDFPUvl,https://api.spotify.com/v1/tracks/0J2OnBNKwt0KICDyDFPUvl,https://api.spotify.com/v1/audio-analysis/0J2OnBNKwt0KICDyDFPUvl,195233,4,1,Take It Or Leave It
0.331,0.493,5,-7.814,1,0.0394,0.0167,0.00157,0.589,0.19,74.341,audio_features,2wXYAGCj2gA6biHi0W4xdJ,spotify:track:2wXYAGCj2gA6biHi0W4xdJ,https://api.spotify.com/v1/tracks/2wXYAGCj2gA6biHi0W4xdJ,https://api.spotify.com/v1/audio-analysis/2wXYAGCj2gA6biHi0W4xdJ,46227,4,1,Everything_Now (continued)
0.469,0.738,11,-6.638,0,0.0619,0.00013,0.0577,0.078,0.624,180.15,audio_features,2BqfIlpahcebJPeu1IUTEo,spotify:track:2BqfIlpahcebJPeu1IUTEo,https://api.spotify.com/v1/tracks/2BqfIlpahcebJPeu1IUTEo,https://api.spotify.com/v1/audio-analysis/2BqfIlpahcebJPeu1IUTEo,209253,4,1,Do Me a Favour
0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,audio_features,5b9Iolaee6xTaMWb8c5rLB,spotify:track:5b9Iolaee6xTaMWb8c5rLB,https://api.spotify.com/v1/tracks/5b9Iolaee6xTaMWb8c5rLB,https://api.spotify.com/v1/audio-analysis/5b9Iolaee6xTaMWb8c5rLB,252733,4,1,Let Her Go
0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,audio_features,6wNUBZNWFxdUGof6vkaykE,spotify:track:6wNUBZNWFxdUGof6vkaykE,https://api.spotify.com/v1/tracks/6wNUBZNWFxdUGof6vkaykE,https://api.spotify.com/v1/audio-analysis/6wNUBZNWFxdUGof6vkaykE,206052,4,1,One For The Road
0.388,0.633,9,-4.769,1,0.0275,0.0339,0.0,0.104,0.381,173.947,audio_features,49kjlZP49LMD1MrrcvXDET,spotify:track:49kjlZP49LMD1MrrcvXDET,https://api.spotify.com/v1/tracks/49kjlZP49LMD1MrrcvXDET,https://api.spotify.com/v1/audio-analysis/49kjlZP49LMD1MrrcvXDET,252440,4,1,For the First Time
0.515,0.696,6,-5.857,0,0.0313,0.0126,0.000345,0.0916,0.513,134.893,audio_features,4ileLT7ldd2uX8bMemWqbm,spotify:track:4ileLT7ldd2uX8bMemWqbm,https://api.spotify.com/v1/tracks/4ileLT7ldd2uX8bMemWqbm,https://api.spotify.com/v1/audio-analysis/4ileLT7ldd2uX8bMemWqbm,255240,4,1,Life Is Simple in the Moonlight
0.557,0.605,2,-8.194,1,0.0376,0.0986,0.0394,0.0859,0.121,107.951,audio_features,2Dv7PTwSoB17f3VFDIKw8m,spotify:track:2Dv7PTwSoB17f3VFDIKw8m,https://api.spotify.com/v1/tracks/2Dv7PTwSoB17f3VFDIKw8m,https://api.spotify.com/v1/audio-analysis/2Dv7PTwSoB17f3VFDIKw8m,239013,4,1,Dissolve Me
0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,audio_features,6l8EbYRtQMgKOyc1gcDHF9,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9,293120,4,1,Bridge Over Troubled Water
